sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,blend_monthly,system_monthly,actual_monthly,actual_daily,error_daily,ape,kpi_comparable,version_no
DJ454146_2,US TP 折叠餐桌  方形玄关桌  一件一箱 颜色->YZ6630+寿光暖白（小麻）,ALL,UNKNOWN,C,T4B,0.9621,0.3925,29.83,12.17,25,0.8065,-0.4140,0.5133,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ454909_1,"EU MS 猫爬架 猫勺2个 一件一箱 颜色->#3,米色",ALL,AMAZON,C,T4B,1.0858,0.5212,33.66,16.16,22,0.7097,-0.1885,0.2656,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ454909_2,"EU MS 猫爬架 猫勺2个 一件一箱 颜色->#1,紫灰色",ALL,AMAZON,C,T4B,1.6216,0.6616,50.27,20.51,42,1.3548,-0.6932,0.5117,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ454909_3,"EU MS 猫爬架 猫勺2个 一件一箱 颜色->#2,浅灰色",ALL,AMAZON,C,T4A,3.7937,1.7603,117.60,54.57,93,3.0000,-1.2397,0.4132,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ470882_1,US AE 写字桌  （92*48）四个小抽屉 白色 一件一箱,ALL,UNKNOWN,C,T4B,0.7137,0.3837,22.12,11.89,40,1.2903,-0.9066,0.7026,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ470883_1,US AE 写字桌  （92*48）四个小抽屉带插座 白色 一件一箱,ALL,UNKNOWN,C,T4B,1.9125,0.7803,59.29,24.19,52,1.6774,-0.8971,0.5348,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ478585_1,EU MS 猫爬架3顶窝175一件一箱 颜色->米白,ALL,AMAZON,C,T4B,2.1810,1.0469,67.61,32.45,69,2.2258,-1.1789,0.5297,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ478585_1,EU MS 猫爬架3顶窝175一件一箱 颜色->米白,ALL,UNKNOWN,C,T4B,1.6095,0.6567,49.89,20.36,52,1.6774,-1.0207,0.6085,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ478585_3,EU MS 猫爬架3顶窝175一件一箱 颜色->浅灰色,ALL,AMAZON,B,T3,4.1513,3.7362,128.69,115.82,118,3.8065,-0.0703,0.0185,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ478945_1,"US TP 折叠餐桌 方形玄关桌  一件一箱  颜色->#1,栗木+铁灰",ALL,AMAZON,C,T4B,1.1198,0.3900,34.71,12.09,33,1.0645,-0.6745,0.6336,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ478945_1,"US TP 折叠餐桌 方形玄关桌  一件一箱  颜色->#1,栗木+铁灰",ALL,UNKNOWN,C,T4B,1.2277,0.5009,38.06,15.53,28,0.9032,-0.4023,0.4454,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ481034,US AE 写字桌  （80*40）四个小抽屉小款带插座 白色 一件一箱,ALL,AMAZON,C,T4B,1.1557,0.3236,35.83,10.03,4,0.1290,0.1946,1.5079,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486092_1,EU MS 猫爬架909升级款 一件一箱 颜色->米白,ALL,AMAZON,C,T4B,1.0831,0.5199,33.58,16.12,19,0.6129,-0.0930,0.1517,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486101_1,US TP 书桌 带灯泡  2小3大抽屉3折镜（拆装）  一件一箱 颜色->白色,ALL,AMAZON,C,T4A,5.3085,2.2400,164.56,69.44,157,5.0645,-2.8245,0.5577,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486101_1,US TP 书桌 带灯泡  2小3大抽屉3折镜（拆装）  一件一箱 颜色->白色,ALL,TIKTOK,C,T4B,0.2016,0.1084,6.25,3.36,61,1.9677,-1.8593,0.9449,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486101_2,US TP 书桌 带灯泡  2小3大抽屉3折镜（拆装）  一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,2.0511,0.9845,63.58,30.52,50,1.6129,-0.6284,0.3896,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486101_3,US TP 书桌 带灯泡  2小3大抽屉3折镜（拆装）  一件一箱 颜色->棕色,ALL,AMAZON,C,T4A,3.6539,1.6800,113.27,52.08,40,1.2903,0.3897,0.3020,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ486101_3,US TP 书桌 带灯泡  2小3大抽屉3折镜（拆装）  一件一箱 颜色->棕色,ALL,UNKNOWN,C,T4B,0.6496,0.3118,20.14,9.67,17,0.5484,-0.2366,0.4314,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ487481_2,"EU MS 猫爬架 单勺两房 90MM 一件一箱 颜色->#1,浅灰+白麻",ALL,AMAZON,C,T4B,2.3708,1.1380,73.49,35.28,34,1.0968,0.0412,0.0376,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ487481_2,"EU MS 猫爬架 单勺两房 90MM 一件一箱 颜色->#1,浅灰+白麻",ALL,UNKNOWN,C,T4B,0.8902,0.4529,27.60,14.04,40,1.2903,-0.8374,0.6490,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ487481_5,"EU MS 猫爬架 单勺两房 90MM 一件一箱 颜色->#4,米色+白麻",ALL,AMAZON,C,T4B,1.1463,0.4677,35.54,14.50,22,0.7097,-0.2420,0.3410,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ487481_5,"EU MS 猫爬架 单勺两房 90MM 一件一箱 颜色->#4,米色+白麻",ALL,UNKNOWN,C,T4B,0.7041,0.2873,21.83,8.91,21,0.6774,-0.3901,0.5759,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502257_1_WF,US AE 书柜 抽屉2个+插盘 2件1箱小麻点款 二件一箱 颜色->黑色,ALL,UNKNOWN,D,T4B,2.2588,1.0842,70.02,33.61,69,2.2258,-1.1416,0.5129,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502257_25_WF,"US AE 书柜 抽屉2个+插盘 2件1箱小麻点款 二件一箱 颜色->#3,灰木纹色",ALL,UNKNOWN,C,T4B,1.9360,0.7899,60.02,24.49,0,0.0000,0.7899,,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502406,VD 竹制马桶架 大款 双门储物+单层架 原色 一个一箱,ALL,AMAZON,C,T3,5.0226,4.5203,155.70,140.13,211,6.8065,-2.2862,0.3359,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502408,VD 竹制浴室柜 高款 单门+3层架 原色 一个一箱,ALL,AMAZON,C,T4B,4.0499,1.6524,125.55,51.22,100,3.2258,-1.5734,0.4878,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
