SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ505399_2,US AG 双柜门翻盖板式床 侧边4抽 铝槽灯带+排插 F款 一件两箱 颜色->白色,ALL,UNKNOWN,C,T4B,11.45,4.67,8,-3.33,-0.4164,0.4164
DJ505474_1,UK AG 铁木悬浮床 软包靠背 双层置物 USB插排 灯带 床垫150*200cm 一件一箱 颜色->深灰色,ALL,UNKNOWN,C,T4B,5.76,2.76,8,-5.24,-0.6547,0.6547
DJ505516_2,"EU BW 软包气动床BQQ-01 HQ 608 白色 一件两箱,90*200",ALL,AMAZON,C,T4B,13.95,6.70,8,-1.30,-0.1630,0.1630
DJ505578_3,US 现代简约风移动柜行政桌 一件一箱 颜色->浅棕+白,ALL,UNKNOWN,C,T4B,11.07,5.31,8,-2.69,-0.3358,0.3358
DJVN000101_1,"US QZ 条纹四门餐边柜，三个抽屉，一件一箱 ,原木色",ALL,TEMU,D,T4B,4.87,2.34,8,-5.66,-0.7078,0.7078
DJ503441_5,US PT 正方形升降谷仓咖啡桌 颜色->复古白+棕,ALL,UNKNOWN,B,T4B,7.87,3.21,7,-3.79,-0.5412,0.5412
DJ503466_5,US BF 电视柜 TV07 铁木6无纺布抽pu面转角直装两种安装 颜色->#5,ALL,UNKNOWN,C,T4B,7.42,3.78,7,-3.22,-0.4602,0.4602
DJ503698_2,US 80cm板式储物马桶架 一件一箱 颜色->灰古木+玻璃门,ALL,UNKNOWN,B,T4B,31.10,12.69,7,5.69,0.8126,0.8126
DJ504034_1,"US 床T-B2355T皇冠灯带99*190 颜色->#1,TX-001米白+粉2024-17绒布+黑色铁",ALL,WALMART,B,T4B,11.26,5.41,7,-1.59,-0.2277,0.2277
DJ504050_4,"US 床BJS-590T低阁楼床下6抽屉含灯带99*190 颜色->#4,黑色铁+黑色板+黑PU抽面",ALL,UNKNOWN,C,T4B,10.82,4.41,7,-2.59,-0.3694,0.3694
DJ504176_1,"US UA 高款拱顶书柜 藤编门板 一件一箱 颜色->黄色,木色手抓纹",ALL,WALMART,B,T4B,24.35,11.69,7,4.69,0.6700,0.6700
DJ504284_1,US AG 绒布软包皇冠公主床 F 一件一箱 颜色->粉色,ALL,UNKNOWN,C,T4B,9.67,4.64,7,-2.36,-0.3370,0.3370
DJ504340_4,US AG 乡村风高款边桌 一件一箱 颜色->灰色,ALL,UNKNOWN,C,T4B,6.28,3.02,7,-3.98,-0.5691,0.5691
DJ504808_1,US AG 乡村风长虹玻璃LED书桌 一件一箱 颜色->白色,ALL,UNKNOWN,C,T4B,27.51,14.79,7,7.79,1.1129,1.1129
DJ504874_3,US 1.2m6抽弧形文件柜 一件一箱 颜色->白色,ALL,UNKNOWN,C,T4B,9.40,4.78,7,-2.22,-0.3167,0.3167
DJ504899_3,US 床TB-2362T FB-儿童床-002  99*190 颜色->#3 灰色绒布,ALL,AMAZON,C,T4B,17.94,8.61,7,1.61,0.2298,0.2298
DJ505120_3_WF,US SD L升降桌带文件柜  一件两箱   颜色->白麻,ALL,UNKNOWN,C,T4B,28.65,13.75,7,6.75,0.9645,0.9645
DJ505134_1,US SD 1.6米单人升降行政桌  一件两箱 颜色->金丝楠木+黑麻,ALL,TEMU,C,T4B,8.23,4.19,7,-2.82,-0.4021,0.4021
DJ505177_1,US AG 6布抽2小翻盖角落床 F 一件两箱 颜色->火烧云,ALL,WALMART,C,T4B,8.60,4.63,7,-2.37,-0.3393,0.3393
DJ505214_3,"US 床YW541T 双层床+桌面  99*190 一件一箱 颜色->#3,黑铁+锯齿橡木灰",ALL,WALMART,C,T4B,12.72,6.47,7,-0.53,-0.0753,0.0753
DJ505225_1,US 594F款 F尺寸上床下桌8抽带灯带插排 一件两箱 颜色->火烧云,ALL,UNKNOWN,B,T4B,14.72,6.00,7,-1.00,-0.1422,0.1422
DJ505225_3,US 594F款 F尺寸上床下桌8抽带灯带插排 一件两箱 颜色->灰色,ALL,WALMART,A,T4B,9.59,4.60,7,-2.40,-0.3424,0.3424
DJ505229_2,"US HA 书桌 VT12 圆弧柱5抽两门波浪纹大镜子款 一件两箱A/B 颜色->#2,白色浮雕色",ALL,AMAZON,B,T4B,29.50,14.16,7,7.16,1.0230,1.0230
DJ505251_1,US HS 储物柜-DSBL-02侧板自攻丝带插板 2x3+4 DFS 一件两箱 颜色->黑色,ALL,TIKTOK,B,T4B,7.15,3.85,7,-3.15,-0.4504,0.4504
DJ505324_2,US 床GSI-006T带储物柜上床下桌床含灯带插盘99*190一件两箱白铁+白麻板,ALL,AMAZON,D,T4B,19.98,10.16,7,3.16,0.4521,0.4521
DJ505441_1,"US AG 升级款双柜门翻盖板式床 侧边4抽 铝槽灯带+排插 F款 一件两箱 尺码->#10,橡木色",ALL,AMAZON,C,T4B,13.93,7.49,7,0.49,0.0699,0.0699
DJ505512_1,US VD JYH216 PU软包4抽床 火烧云板 靠背掀盖 双灯带 Q 一件两箱 颜色->黑色,ALL,AMAZON,C,T4B,13.95,6.70,7,-0.30,-0.0434,0.0434
DJVN000013_1,"US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#3,灰木纹色麻面",ALL,WALMART,B,T4B,13.13,5.35,7,-1.65,-0.2352,0.2352
DJVN000040_3,"US AE 书柜 NT27 抽屉2个+空格 2件1箱小麻点款 二件一箱 颜色->#2,白色小麻点",ALL,TIKTOK,C,T4B,10.87,5.22,7,-1.78,-0.2547,0.2547
SFDJ505118_1,US 1.4米升降桌 一件两箱  颜色->主体白+顶板棕,ALL,WALMART,D,T4B,13.46,7.24,7,0.24,0.0336,0.0336
DJ502844,VD 板式边桌 编藤双抽+单隔层+插排+灯带 木色 一个一箱,ALL,UNKNOWN,C,T4B,6.87,3.70,6,-2.30,-0.3841,0.3841
DJ502890_4,US SD L桌带洞洞铁皮带排插  一件一箱 颜色->989-3,ALL,UNKNOWN,C,T4B,5.33,2.71,6,-3.29,-0.5479,0.5479
DJ503171_1_WF,US TA 双顶双抽带门咖啡桌 一件一箱 颜色->火烧云,ALL,UNKNOWN,C,T4B,64.77,26.42,6,20.42,3.4041,3.4041
DJ503648_2,"US AG 1x5藤编交叉腿储物柜 一件一箱 尺码->#2,黑色",ALL,AMAZON,C,T4B,23.49,9.59,6,3.59,0.5975,0.5975
DJ504048_3,EU DC气动床BQD-01床头两层+灯带+插排HQ603灰色麻布+火烧色 一件两箱140*200,ALL,UNKNOWN,C,T4B,8.73,4.19,6,-1.81,-0.3015,0.3015
DJ504358_1,EU VD 板式面盆柜 双开门 单抽 一件一箱 颜色->白色,ALL,UNKNOWN,B,T4B,7.32,3.51,6,-2.49,-0.4146,0.4146
DJ504360_2,US VD 低高架床 步梯 9布抽 T 一件一箱 颜色->灰色,ALL,UNKNOWN,C,T4B,20.62,9.90,6,3.90,0.6497,0.6497
DJ504400_1,"US AE 书柜 NT25 四抽悬浮滑盖加灯带插排 颜色->#1,黑色麻面",ALL,WALMART,A,T4B,6.45,3.09,6,-2.91,-0.4844,0.4844
DJ504484_1,"US AG 双层下翻浮雕门鞋柜 一件一箱 尺码->#1,黑色",ALL,UNKNOWN,C,T4B,24.22,11.63,6,5.63,0.9375,0.9375
DJ504543_2,US TS08 1米6长11抽悬浮顶电视柜带灯带插排 一件一箱 颜色->火烧云,ALL,UNKNOWN,C,T4B,5.99,3.05,6,-2.95,-0.4916,0.4916
DJ504577_1,"US BF 储物柜 DT30 7抽凹槽无把手高柜一件一箱 颜色->#1,黑色小麻",ALL,AMAZON,C,T4B,62.65,25.56,6,19.56,3.2604,3.2604
DJ504950_3,US ER BF-TM02 八抽单层儿童床 一件一箱 颜色->粉色,ALL,UNKNOWN,C,T4B,4.72,2.54,6,-3.46,-0.5774,0.5774
DJ504978_3,US R123款 5抽帐篷低阁楼床 带2条灯带床头置物袋 颜色->粉色,ALL,WALMART,A,T4B,8.64,4.14,6,-1.86,-0.3092,0.3092
DJ505068_3,US AG 高架布抽角落床 T 一件一箱 颜色->粉色,ALL,WALMART,B,T4B,4.41,2.37,6,-3.63,-0.6048,0.6048
DJ505079_2,"US UA BK-GD01 高款拱顶书柜带推车 一件一箱 颜色->黄色,橡木色",ALL,UNKNOWN,B,T4B,30.66,15.60,6,9.60,1.5999,1.5999
DJ505116_2,US 斜腿错层行政桌 一件一箱 颜色->989-3灰色,ALL,UNKNOWN,C,T4B,27.87,14.18,6,8.18,1.3632,1.3632
DJ505193_2,US AG 折叠储物沙发床架 左右互换+无纺布抽 T 一件两箱 颜色->灰橡木,ALL,WALMART,B,T4B,15.36,6.27,6,0.27,0.0447,0.0447
DJ505289_1_WF,US HS 梳妆台-VDND-01 金拱门01款 平桌面 七抽  一件两箱 颜色->白色,ALL,UNKNOWN,C,T4B,14.22,7.64,6,1.64,0.2741,0.2741
DJ505295_1,US SD 80cm转角升降桌 一件一箱  颜色->火烧云,ALL,WALMART,C,T4B,8.23,4.42,6,-1.58,-0.2627,0.2627
DJ505320_1,EU AG三抽一格玻璃台面床头柜40*35cm含插座2AC+1U+1T 一件一箱 颜色->白色,ALL,UNKNOWN,C,T4B,6.42,3.08,6,-2.92,-0.4864,0.4864
DJ505331_2,EU DC CBQ-05 客卧气动款青少年床90*200 白色 一件两箱,ALL,AMAZON,C,T4B,30.28,16.28,6,10.28,1.7135,1.7135
DJ505385_2,"USHA DFS-DT48 凹槽抽面无把手12抽矮柜 160cm 一件两箱 颜色->#2,白色麻面",ALL,AMAZON,C,T4B,20.83,8.50,6,2.50,0.4167,0.4167
DJ505466_2,US DC 软包床 BWR-01 ZY双侧护栏床尾带抽篮-2366 F 米色 一件一箱,ALL,UNKNOWN,C,T4B,6.17,2.96,6,-3.04,-0.5066,0.5066
DJ505468_1,US DC 矮高架床 LBB-07 BD164 适配成长 变形款储物双床+LED 双T 黑色 一件一箱,ALL,AMAZON,C,T4B,17.94,8.61,6,2.61,0.4348,0.4348
DJ505560_5,"EU KM BF-RX02 带床头靠背储物悬浮床 双包装 尺码->XXXL,180*200;颜色->灰色,亚麻灰",ALL,AMAZON,C,T4B,5.31,2.55,6,-3.45,-0.5748,0.5748
DJ505668_3,US SD L桌带文件抽桌面宽470mm  颜色->白色,ALL,TEMU,C,T4B,5.98,2.87,6,-3.13,-0.5216,0.5216
DJVN000013_4,US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#4,ALL,TEMU,C,T4B,15.04,7.22,6,1.22,0.2033,0.2033
DJVN000057_1,US SD 1.4米单人X字三抽电脑桌 一件一箱 颜色->棕色,ALL,AMAZON,C,T4A,78.45,36.40,6,30.40,5.0672,5.0672
DJVN000097_2,"US WIN 独立柜马桶架 一件一箱 颜色->黑色,浮雕大山纹黑",ALL,AMAZON,D,T4B,30.27,15.40,6,9.40,1.5668,1.5668
SFDJ504717_1,US 单人升降桌带竖条凹槽腿 一件一箱 颜色->棕色,ALL,TIKTOK,D,T4B,6.97,3.74,6,-2.26,-0.3759,0.3759
DJ502597,US TA 高文件柜带布抽 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,66.97,27.32,5,22.32,4.4647,4.4647
DJ502890_2,US SD L桌带洞洞铁皮带排插  一件一箱 颜色->白色,ALL,UNKNOWN,C,T4B,4.48,2.15,5,-2.85,-0.5697,0.5697
DJ503315_1,US SD 1.67米游戏高桌  一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,74.71,30.48,5,25.48,5.0965,5.0965
DJ503351_2,US SD L桌高桌带X字双抽  一件一箱 颜色->白麻,ALL,WALMART,C,T4B,7.26,3.90,5,-1.10,-0.2194,0.2194
DJ503916_1,US HS 抽屉柜 DDBT-03 1x6+2 底座 无把手 一件一箱 颜色->黑色,ALL,TIKTOK,B,T4B,16.36,7.85,5,2.85,0.5705,0.5705
DJ503946_1,"US 床T-B2451T软包水晶扣公主床抽屉灯带99*190 颜色->#1,TX-001米白色绒布+黑色铁",ALL,AMAZON,C,T4B,33.30,14.05,5,9.05,1.8105,1.8105
DJ504119_1,US床T-B715T床头置物软包床前后铝材灯带四抽含垫99*190 颜色黑色PU,ALL,TIKTOK,C,T4B,9.62,5.17,5,0.17,0.0348,0.0348
DJ504227_3,US SD 1.3米L桌高桌带置物架  一件一箱 颜色->989-3灰色,ALL,AMAZON,C,T4B,42.45,20.38,5,15.38,3.0759,3.0759
DJ504380_1,"EU KM 板式餐边柜大款玻璃单抽三柜门 两箱一件 颜色->白色,磨砂白",ALL,UNKNOWN,C,T4B,16.83,8.56,5,3.56,0.7124,0.7124
DJ504702_1,EU AG灯芯绒 床围环绕灯带 1.4*2m气杆床 2AC+1U1T插孔 一件两箱 颜色->米白,ALL,UNKNOWN,C,T4B,5.67,3.05,5,-1.95,-0.3899,0.3899
DJ504717_2,US 单人升降桌带竖条凹槽腿 一件一箱 颜色->棕色+白色,ALL,UNKNOWN,C,T4B,5.54,2.66,5,-2.34,-0.4687,0.4687
