sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,effective_daily,blend_monthly,system_monthly,effective_monthly,actual_monthly,actual_daily,version_no,version_status
DJVN000193_1,US WIN 原木格栅换鞋凳-1翻斗1门2抽款 一件一箱 颜色->Joyful: J8130-7V 3DPM7,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,40,1.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_1,US 懒人沙发  一件一箱 米白色,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,21,0.6774,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_1,US 懒人沙发  一件一箱 米白色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,28,0.9032,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_2,US 懒人沙发 一件一箱 墨绿色,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,4,0.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_2,US 懒人沙发 一件一箱 墨绿色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,22,0.7097,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_3,US 懒人沙发  一件一箱  粉色,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_3,US 懒人沙发  一件一箱  粉色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,8,0.2581,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_4,US 懒人沙发 灰色 一件一箱,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,5,0.1613,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000207_4,US 懒人沙发 灰色 一件一箱,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,32,1.0323,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000208_1,"US WIN 全开放八字胡书柜 一件一箱 颜色->#1,浮雕山纹黑大通元素DS6607/A05014K",ALL,AMAZON,D,T4B,0.1571,0.0754,0.0754,4.87,2.34,2.34,66,2.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000209_1,"US WIN 双门八字胡书柜 一件一箱 颜色->#1,浮雕山纹黑大通元素DS6607/A05014K",ALL,AMAZON,D,T4B,0.1571,0.0754,0.0754,4.87,2.34,2.34,73,2.3548,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000211_1,"US WIN 农舍餐边柜 一件一箱 颜色->#1,胡桃色元素DS66108农舍白元素DS6612",ALL,AMAZON,D,T4B,0.2500,0.1200,0.1200,7.75,3.72,3.72,38,1.2258,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000212_1,"US WIN 可抽拉置物板床头柜 一件一箱 颜色->#1,棕色大通元素E60182",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,22,0.7097,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
